                Distance Golfer     Brand
                 272.4     1          A
                  312      2          A
                  290      3          A
                  300      4          A
                 261.6     5          A
                 317.7     6          A
                 284.8     7          A
                 315.4     8          A
                  294      9          A
                 322.2     10         A
                 273.2     1          B
                 318.7     2          B
                 297.3     3          B
                 313.1     4          B
                 281.4     5          B
                  323      6          B
                 284.8     7          B
                 313.6     8          B
                 301.5     9          B
                 325.2     10         B
                 293.7     1          C
                 329.8     2          C
                  310      3          C
                 317.7     4          C
                 288.1     5          C
                 338.1     6          C
                 303.9     7          C
                 327.8     8          C
                 308.2     9          C
                 335.4     10         C
                 273.6     1          D
                 310.7     2          D
                 277.4     3          D
                 296.9     4          D
                 270.1     5          D
                  314      6          D
                 265.8     7          D
                 297.9     8          D
                 285.7     9          D
                 315.2     10         D
