            yield   sunlight   co2    fertiliser
             125      12       2       2
             128       8       2       1
             120       3       2       2
             129       7       2       1
             119       2       2       2
             125       4       2       1
             117       4       2       2
             127       8       2       1
             128      11       2       2
             129      11       2       1
             123       6       1       2
             114       6       1       1
             118       2       1       2
             116       6       1       1
             126       9       1       2
             116       8       1       1
             134      12       1       2
             119       9       1       1
             129      10       1       2
             119      10       1       1
