Id,Probability
100004,0
100015,0
100026,1
100030,0
100047,0
100052,0
100056,0
100061,1
100067,1
100068,1
100082,0
100084,1
100097,1
100098,1
100100,0
100122,0
100128,0
100134,1
100138,0
100146,1
100161,0
100167,0
100184,0
100187,1
100189,0
100202,0
100206,1
100212,0
100218,1
100219,0
100226,0
100227,1
100229,0
100243,1
100257,1
100258,0
100265,1
100274,1
100276,1
100287,0
100289,0
100294,1
100307,0
100313,0
100322,1
100326,0
100332,0
100334,0
100339,0
100344,0
100351,0
100359,0
100375,1
100392,1
100401,0
100403,0
100419,0
100426,0
100432,0
100433,0
100444,0
100448,1
100452,0
100456,0
100465,0
100475,0
100479,0
100483,1
100490,0
100492,0
100499,1
100505,0
100509,0
100513,1
100514,0
100519,1
100528,1
100530,0
100536,0
100541,1
100543,1
100544,1
100554,1
100562,1
100563,0
100569,1
100572,0
100574,1
100578,0
100594,0
100595,1
100598,0
100603,1
100604,1
100606,1
100617,0
100634,0
100638,0
100641,0
100649,1
100653,1
100654,0
100655,0
100676,1
100678,0
100692,0
100698,1
100703,1
100708,0
100712,0
100713,0
100716,0
100722,1
100729,0
100733,0
100739,1
100747,1
100751,0
100759,1
100765,0
100767,1
100772,0
100780,0
100783,1
100787,1
100815,0
100817,1
100818,1
100830,0
100840,0
100843,0
100857,0
100859,0
100865,0
100873,0
100886,1
100893,1
100896,0
100913,1
100918,1
100921,0
100928,1
100945,1
100947,1
100952,1
100955,0
100959,0
100960,1
100962,0
100972,1
100980,1
100999,0
101000,1
101002,0
101003,1
101010,0
101012,0
101023,1
101031,1
101039,1
101040,0
101050,0
101054,1
101056,0
101060,1
101068,1
101082,0
101083,0
101093,0
101099,0
101107,0
101111,0
101113,0
101115,0
101119,0
101123,0
101125,0
101129,0
101130,0
101132,1
101135,0
101140,0
101145,0
101153,0
101156,0
101159,0
101162,1
101171,0
101181,0
101197,0
101228,0
101235,1
101238,0
101243,0
101256,0
101263,0
101264,0
101267,1
101298,0
101299,0
101304,1
101310,1
101314,0
101319,1
101320,1
101326,0
101336,0
101338,1
101342,1
101343,0
101348,1
101354,1
101361,0
101368,1
101375,0
101392,1
101394,1
101407,0
101415,1
101423,1
101434,0
101435,0
101436,0
101438,0
101440,0
101467,1
101474,0
101475,0
101479,0
101480,1
101486,0
101502,1
101511,1
101515,0
101527,0
101532,0
101540,0
101552,0
101557,0
101560,1
101562,0
101572,0
101573,0
101589,0
101594,0
101619,0
101630,1
101639,0
101641,0
101642,0
101643,1
101644,0
101645,1
101648,0
101652,0
101656,0
101660,1
101665,0
101668,1
101670,0
101673,1
101678,1
101679,0
101681,1
101683,0
101689,0
101692,0
101701,0
101706,0
101712,1
101719,0
101738,1
101741,1
101742,1
101759,0
101769,0
101770,0
101781,0
101795,0
101802,1
101809,0
101814,1
101820,0
101823,0
101840,0
101841,0
101842,0
101852,0
101859,1
101861,1
101876,0
101878,0
101883,0
101886,0
101893,1
101896,0
101898,1
101918,1
101924,1
101930,1
101937,1
101946,0
101948,0
101967,0
101968,0
101971,0
101972,0
101990,0
102021,0
102023,1
102033,1
102039,0
102046,0
102057,0
102059,0
102084,0
102087,0
102100,0
102113,0
102115,0
102116,1
102130,1
102140,0
102154,0
102155,1
102168,0
102193,1
102194,1
102199,1
102203,1
102210,1
102240,1
102254,1
102261,0
102272,1
102273,0
102274,0
102284,0
102291,1
102298,0
102299,0
102303,1
102308,0
102313,0
102314,1
102319,0
102333,0
102336,1
102343,1
102348,0
102349,0
102350,1
102354,1
102363,0
102367,1
102371,0
102373,1
102377,1
102389,0
102400,0
102406,1
102422,0
102433,0
102444,1
102445,1
102446,0
102457,0
102462,1
102466,0
102480,0
102484,0
102487,1
102494,0
102504,1
102505,1
102513,0
102517,1
102524,0
102525,0
102529,0
102534,1
102535,0
102548,0
102555,1
102559,1
102562,1
102574,0
102586,1
102592,1
102597,0
102609,0
102613,1
102617,0
102626,0
102629,0
102630,0
102635,1
102638,1
102641,0
102646,1
102657,0
102659,1
102674,0
102716,1
102720,1
102737,1
102748,1
102749,0
102758,0
102761,0
102778,0
102788,0
102795,0
102812,0
102820,1
102821,0
102827,0
102829,1
102835,0
102838,0
102841,0
102843,1
102848,1
102850,0
102855,0
102861,1
102891,0
102892,0
102910,0
102923,1
102942,1
102947,1
102953,0
102955,0
102958,0
102959,0
102971,1
102973,1
102974,1
102977,1
102988,0
103001,0
103006,0
103037,1
103038,1
103040,1
103049,0
103053,0
103061,1
103062,0
103076,0
103097,0
103102,0
103108,0
103117,1
103120,1
103121,1
103123,1
103124,0
103131,1
103135,0
103140,0
103145,0
103146,0
103147,1
103150,1
103154,0
103157,0
103164,0
103165,0
103173,1
103189,1
103206,1
103218,0
103223,0
103228,0
103232,0
103245,1
103247,0
103253,0
103270,0
103277,0
103279,0
103280,0
103287,0
103294,0
103299,0
103312,0
103313,1
103318,1
103332,0
103341,0
103344,0
103353,1
103359,0
103364,0
103373,0
103378,0
103403,0
103405,1
103407,1
103408,0
103410,1
103413,0
103429,1
103433,0
103438,0
103451,0
103461,0
103463,0
103467,0
103471,0
103472,0
103476,0
103477,0
103482,0
103485,0
103489,0
103493,1
103504,0
103505,1
103508,0
103510,1
103519,1
103526,1
103528,0
103533,0
103540,0
103549,0
103550,0
103560,0
103565,1
103581,0
103582,0
103588,0
103590,0
103594,1
103597,1
103599,0
103609,1
103621,1
103628,0
103631,1
103634,0
103652,0
103654,0
103672,0
103675,0
103679,1
103686,0
103694,1
103703,1
103731,1
103740,0
103753,1
103757,0
103758,0
103776,0
103779,0
103782,0
103786,0
103789,1
103802,0
103813,0
103817,1
103819,0
103821,0
103847,0
103861,0
103869,0
103873,1
103878,0
103894,0
103901,1
103910,1
103916,0
103919,0
103926,0
103930,0
103932,1
103943,0
103944,0
103947,0
103949,0
103952,1
103953,0
103955,0
103959,0
104001,1
104003,1
104009,1
104014,0
104015,0
104051,0
104054,1
104055,1
104062,0
104100,0
104119,1
104125,0
104134,1
104155,1
104156,0
104168,1
104187,0
104190,0
104193,1
104197,0
104204,0
104215,1
104225,0
104226,0
104229,1
104234,0
104238,1
104241,1
104247,0
104251,0
104254,0
104265,0
104278,1
104281,0
104282,0
104286,1
104300,0
104301,1
104308,1
104309,1
104314,0
104315,1
104316,0
104317,0
104321,1
104327,1
104330,0
104337,1
104353,0
104363,0
104367,1
104371,1
104377,0
104380,0
104398,1
104402,1
104404,0
104415,0
104421,0
104422,0
104431,0
104445,0
104446,0
104449,0
104468,1
104473,0
104480,1
104491,0
104502,1
104503,0
104506,1
104514,1
104526,0
104532,0
104544,0
104546,0
104550,1
104557,1
104566,0
104573,0
104575,1
104578,0
104584,1
104586,0
104591,0
104592,1
104597,0
104605,0
104610,0
104616,0
104620,0
104624,0
104630,1
104631,0
104648,0
104650,0
104670,1
104673,1
104676,0
104679,0
104681,0
104701,0
104717,0
104727,0
104728,0
104730,0
104731,1
104734,1
104735,1
104748,0
104755,0
104756,1
104765,1
104767,0
104770,0
104773,0
104775,0
104786,0
104791,0
104793,1
104814,1
104824,0
104836,1
104848,0
104861,0
104882,1
104886,0
104888,1
104892,0
104898,0
104901,0
104902,0
104910,0
104921,0
104924,1
104927,0
104929,0
104935,1
104942,0
104957,0
104961,0
104965,1
104975,0
104991,0
104995,0
105000,1
105010,0
105014,0
105023,0
105027,1
105031,1
105045,0
105049,0
105058,1
105105,1
105111,1
105116,1
105126,0
105144,0
105166,0
105167,0
105175,0
105177,1
105179,0
105192,1
105193,1
105197,1
105204,1
105212,0
105219,1
105220,0
105226,0
105230,1
105241,0
105270,0
105277,0
105300,0
105309,0
105312,1
105321,0
105331,0
105332,1
105340,0
105341,1
105349,0
105366,0
105399,1
105400,0
105401,0
105402,0
105404,0
105428,0
105434,0
105442,0
105452,0
105456,1
105471,1
105477,0
105483,1
105485,0
105494,1
105505,0
105519,0
105534,1
105538,1
105543,1
105547,0
105550,0
105556,0
105562,0
105568,0
105569,0
105570,1
105585,0
105587,0
105593,0
105609,1
105612,1
105613,0
105617,0
105619,0
105629,1
105630,0
105632,0
105637,1
105642,0
105648,1
105649,1
105656,0
105657,1
105671,0
105690,0
105704,1
105705,0
105706,0
105709,0
105717,1
105729,0
105733,0
105755,1
105763,0
105771,0
105774,1
105775,0
105776,0
105785,0
105796,1
105802,1
105812,0
105816,1
105819,1
105821,0
105826,1
105845,1
105852,0
105858,1
105870,0
105871,1
105884,0
105886,0
105887,0
105901,0
105904,1
105907,1
105910,0
105914,1
105934,1
105940,0
105950,1
105952,1
105955,1
105962,0
105963,0
105981,0
105989,1
105996,0
105998,1
106003,1
106008,0
106018,0
106020,0
106034,1
106037,1
106046,0
106051,0
106058,1
106060,1
106070,0
106089,1
106093,0
106100,0
106102,0
106111,0
106113,1
106118,0
106123,1
106147,1
106148,0
106153,1
106166,1
106175,1
106182,0
106186,0
106188,1
106189,0
106192,1
106214,1
106217,0
106220,0
106222,0
106224,0
106234,0
106237,0
106238,0
106240,0
106247,1
106261,0
106262,0
106266,0
106269,1
106270,0
106284,0
106302,0
106305,0
106307,0
106312,0
106314,0
106318,0
106352,0
106364,0
106390,0
106400,0
106410,1
106421,0
106433,0
106434,0
106439,0
106445,0
106446,0
106457,1
106463,1
106475,0
106476,0
106483,1
106491,1
106494,1
106497,1
106501,1
106503,0
106509,0
106518,0
106523,0
106529,0
106534,0
