Id,Probability
100004,1
100015,0
100026,0
100030,0
100047,0
100052,0
100056,0
100061,0
100067,1
100068,0
100082,0
100084,0
100097,1
100098,1
100100,0
100122,1
100128,0
100134,0
100138,0
100146,1
100161,0
100167,0
100184,0
100187,1
100189,0
100202,0
100206,0
100212,1
100218,0
100219,0
100226,0
100227,0
100229,1
100243,0
100257,1
100258,0
100265,0
100274,0
100276,0
100287,0
100289,0
100294,0
100307,0
100313,0
100322,1
100326,1
100332,1
100334,0
100339,0
100344,0
100351,0
100359,1
100375,1
100392,0
100401,1
100403,0
100419,0
100426,0
100432,1
100433,0
100444,0
100448,1
100452,0
100456,0
100465,0
100475,0
100479,0
100483,0
100490,0
100492,0
100499,1
100505,0
100509,1
100513,1
100514,0
100519,0
100528,1
100530,0
100536,1
100541,1
100543,1
100544,0
100554,0
100562,0
100563,0
100569,1
100572,1
100574,1
100578,1
100594,1
100595,0
100598,0
100603,0
100604,0
100606,0
100617,0
100634,0
100638,0
100641,1
100649,1
100653,0
100654,0
100655,1
100676,0
100678,0
100692,0
100698,0
100703,1
100708,1
100712,1
100713,0
100716,0
100722,0
100729,0
100733,0
100739,1
100747,0
100751,0
100759,0
100765,0
100767,1
100772,1
100780,0
100783,0
100787,0
100815,0
100817,0
100818,1
100830,0
100840,1
100843,1
100857,0
100859,0
100865,0
100873,0
100886,0
100893,0
100896,0
100913,1
100918,1
100921,0
100928,0
100945,1
100947,0
100952,0
100955,0
100959,0
100960,1
100962,0
100972,0
100980,1
100999,0
101000,1
101002,0
101003,0
101010,0
101012,1
101023,1
101031,1
101039,1
101040,0
101050,1
101054,1
101056,1
101060,0
101068,1
101082,0
101083,1
101093,0
101099,0
101107,0
101111,0
101113,1
101115,0
101119,0
101123,0
101125,0
101129,1
101130,0
101132,1
101135,1
101140,0
101145,1
101153,0
101156,0
101159,0
101162,1
101171,0
101181,0
101197,0
101228,0
101235,1
101238,0
101243,0
101256,1
101263,0
101264,0
101267,0
101298,0
101299,0
101304,1
101310,0
101314,0
101319,0
101320,0
101326,1
101336,0
101338,0
101342,1
101343,0
101348,0
101354,1
101361,1
101368,0
101375,0
101392,0
101394,1
101407,0
101415,0
101423,0
101434,0
101435,0
101436,0
101438,0
101440,0
101467,0
101474,1
101475,0
101479,0
101480,1
101486,0
101502,0
101511,0
101515,0
101527,0
101532,1
101540,0
101552,0
101557,0
101560,0
101562,0
101572,1
101573,0
101589,0
101594,0
101619,1
101630,1
101639,0
101641,0
101642,0
101643,1
101644,0
101645,0
101648,0
101652,0
101656,1
101660,0
101665,1
101668,1
101670,0
101673,0
101678,0
101679,0
101681,0
101683,0
101689,0
101692,0
101701,1
101706,0
101712,0
101719,0
101738,0
101741,0
101742,1
101759,0
101769,0
101770,1
101781,0
101795,0
101802,1
101809,0
101814,1
101820,0
101823,0
101840,0
101841,0
101842,1
101852,0
101859,0
101861,0
101876,0
101878,0
101883,0
101886,0
101893,1
101896,0
101898,1
101918,1
101924,0
101930,0
101937,1
101946,1
101948,0
101967,0
101968,0
101971,0
101972,0
101990,1
102021,0
102023,1
102033,1
102039,1
102046,0
102057,0
102059,1
102084,1
102087,0
102100,0
102113,0
102115,0
102116,1
102130,0
102140,0
102154,0
102155,1
102168,0
102193,1
102194,0
102199,1
102203,1
102210,1
102240,1
102254,1
102261,0
102272,0
102273,0
102274,0
102284,0
102291,1
102298,0
102299,0
102303,0
102308,0
102313,0
102314,0
102319,1
102333,0
102336,0
102343,1
102348,0
