GEO.id,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02
0400000US01,Alabama,1838683,5863
0400000US02,Alaska,251899,1331
0400000US04,Arizona,2370289,8769
0400000US05,Arkansas,1129723,4304
0400000US06,California,12542460,20542
0400000US08,Colorado,1977591,4762
0400000US09,Connecticut,1355849,3506
0400000US10,Delaware,335707,1773
0400000US11,District of Columbia,263649,1588
0400000US12,Florida,7158980,25790
0400000US13,Georgia,3518097,10972
0400000US15,Hawaii,449771,1783
0400000US16,Idaho,579797,2551
0400000US17,Illinois,4772723,11056
0400000US18,Indiana,2481793,6580
0400000US19,Iowa,1226547,3433
0400000US20,Kansas,1110440,3304
0400000US21,Kentucky,1694996,5311
0400000US22,Louisiana,1707852,5031
0400000US23,Maine,553823,2219
0400000US24,Maryland,2146240,5641
0400000US25,Massachusetts,2530147,5224
0400000US26,Michigan,3823280,8829
0400000US27,Minnesota,2107232,5485
0400000US28,Mississippi,1088073,4665
0400000US29,Missouri,2360131,6252
0400000US30,Montana,405525,2059
0400000US31,Nebraska,725787,2583
0400000US32,Nevada,999016,4087
0400000US33,New Hampshire,518245,2172
0400000US34,New Jersey,3186418,6092
0400000US35,New Mexico,761938,3017
0400000US36,New York,7234743,12096
0400000US37,North Carolina,3715565,9398
0400000US38,North Dakota,287270,1270
0400000US39,Ohio,4557655,12660
0400000US40,Oklahoma,1444081,3776
0400000US41,Oregon,1516456,4721
0400000US42,Pennsylvania,4958427,8583
0400000US44,Rhode Island,410058,1761
0400000US45,South Carolina,1780251,5580
0400000US46,South Dakota,323136,1682
0400000US47,Tennessee,2475195,6759
0400000US48,Texas,8886471,18279
0400000US49,Utah,886770,2762
0400000US50,Vermont,257004,1218
0400000US51,Virginia,3022739,8232
0400000US53,Washington,2629126,5804
0400000US54,West Virginia,741390,3047
0400000US55,Wisconsin,2288332,6551
0400000US56,Wyoming,222846,1618
0400000US72,Puerto Rico,1230868,3660
