"NA.","the.weight.of.the.stock.picking.concept","NA..1","NA..2","NA..3","NA..4","NA..5","the.original.investment.performance.indicator","NA..6","NA..7","NA..8","NA..9","NA..10","the.normalized..investment.performance.indicator","NA..11","NA..12","NA..13","NA..14","NA..15"
"1","ID"," Large B/P "," Large ROE "," Large S/P "," Large Return Rate in the last quarter "," Large Market Value "," Small systematic Risk","Annual Return","Excess Return","Systematic Risk","Total Risk","Abs. Win Rate","Rel. Win Rate","Annual Return","Excess Return","Systematic Risk","Total Risk","Abs. Win Rate","Rel. Win Rate"
"2","1","1","0","0","0","0","0","0.25535709866895","0.0207782459376582","0.975575441443917","0.0814262587527014","0.8","0.6","0.624791144881008","0.713671684100477","0.381541161138298","0.688241616452471","0.56","0.5"
"3","2","0","1","0","0","0","0","0.249601924579412","0.00395970680164823","1.3508010269013","0.0774976787731215","0.85","0.75","0.599280297868836","0.430547411347119","0.737416909552773","0.633988946470274","0.68","0.725"
"4","3","0","0","1","0","0","0","0.2312464500941","0.0134556675029663","1.04000630544822","0.0878258677174809","0.8","0.4","0.517916347075083","0.590402969901474","0.442649419309376","0.776618555444667","0.56","0.2"
"5","4","0","0","0","1","0","0","0.203809318655929","-0.00260008557812264","1.29189867529464","0.0886237485260628","0.7","0.6","0.39629631409563","0.320119482267408","0.68155206644555","0.78763708234704","0.32","0.5"
"6","5","0","0","0","0","1","0","0.163829668802786","-0.000794824661297842","0.974705620441101","0.0460713860759778","0.8","0.45","0.219079306384627","0.350509350262051","0.380716195537973","0.2","0.56","0.275"
"7","6","0","0","0","0","0","1","0.173487740580946","-0.00720235566377168","1.2270745811143","0.0807209646065539","0.75","0.5","0.261890451231333","0.242644598124584","0.620070856405993","0.678501687330446","0.44","0.35"
"8","7","0.5","0.5","0","0","0","0","0.294883715043437","0.0245843714153497","1.06069011326896","0.064909454359462","0.9","0.7","0.8","0.777744223288626","0.462266593280321","0.460148834183915","0.8","0.65"
"9","8","0.5","0","0.5","0","0","0","0.255867507509128","0.019563440470984","1.01039683373859","0.0834232000369212","0.8","0.5","0.627053624109765","0.693221577732288","0.414566864938839","0.71581885734606","0.56","0.35"
"10","9","0","0.5","0.5","0","0","0","0.24822183797428","0.0123784324929575","1.13802797593774","0.0771966180808021","0.75","0.65","0.593162815113437","0.572268732657278","0.535616254989767","0.629831376439903","0.44","0.575"
"11","10","0.5","0","0","0.5","0","0","0.227573116279516","0.018909643624818","0.850334931122146","0.0598212070252902","0.85","0.55","0.501633632510661","0.682215523335872","0.262759121560047","0.389881458988937","0.68","0.425"
"12","11","0","0.5","0","0.5","0","0","0.261323080302465","0.00697120516438995","1.3518604207393","0.0849193013720436","0.8","0.7","0.651236434347876","0.481243151146756","0.738421671993222","0.736479628519414","0.56","0.65"
"13","12","0","0","0.5","0.5","0","0","0.228335000982888","0.0171456632456839","0.912782533000923","0.0717870765227232","0.8","0.6","0.505010823852963","0.65252057433021","0.321986391545406","0.555127011394286","0.56","0.5"
"14","13","0.5","0","0","0","0.5","0","0.243926385451658","0.0154263848191223","1.01514679558228","0.0572758154392451","0.85","0.7","0.574122447185754","0.623578140612018","0.41907187816709","0.354730261759668","0.68","0.65"
